study_name	variable_name	variable_label	bdchm_class	CURIE	folder	description	domain	type
ABC	ethnicity	Ethnicity (Hispanic or Latino) of the participant	Demography		Demographics	"""Hispanic or Latino"" is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American or other Spanish culture or origin regardless of race."	1:Hispanic or Latino|2:Not Hispanic or Latino	choices
ABC	gender	Gender of the participant	Demography		Demographics		1:Male|2:Female	choices
ABC	leptin_ceiling	Leptin was at ceiling (>100)	MeasurementObservation		Clinical Data/Laboratory Tests		0:No|1:Yes	choices
ABC	nsrr_age_gt89	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Demography	OBA:0000052	Harmonized/Demographics	Harmonized by the NSRR team to align withTOPMedandBioDataCatalyst standards. Source:ageat Baseline	no:no|yes:yes	choices
ABC	nsrr_ethnicity	Subject ethnicity	Demography		Harmonized/Demographics	"Original missing value is recoded as ""not reported"". Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: ethnicity at Baseline"	hispanic or latino: hispanic or latino|not hispanic or latino: not hispanic or latino|not reported: not reported	choices
ABC	nsrr_race	Subject race	Demography		Harmonized/Demographics	Harmonized by the NSRR team to align withTOPMedandBioDataCatalyst standards. Source:raceat Baseline	white:white|asian:asian|hispanic:hispanic|multiple:multiple|other:other|unknown:unknown	choices
ABC	nsrr_sex	Subject sex	Demography		Harmonized/Demographics	Harmonized by the NSRR team to align withTOPMedandBioDataCatalyst standards. Source:genderat Baseline	female:female|male:male	choices
ABC	nsrrid	NSRR subject identifier	Participant		Administrative	The National Sleep Research Resource (NSRR) subject identifier links the subject's data and files.		identifier
ABC	pai1_ceiling	PAI-1 was at ceiling (>20)			Clinical Data/Laboratory Tests		0:No|1:Yes	choices
ABC	race	Race of the participant	Demography		Demographics		1:white|2:american indian or alaska native|3:black or african american|4:asian|5:native hawaiian or other pacific islander|6:other|7:multiple	choices
ABC	rand_siteid	Site identifier			Administrative	Recruitment site was a stratification factor for randomization.	1:Site 1|2:Site 2	choices
ABC	rand_treatmentarm	Randomized treatment arm	ResearchStudy		Administrative		1:Laparoscopic Gastric Banding (LGB)|2:Continuous Positive Airway Pressure (CPAP)	choices
ABC	surgery_occurred	Surgery occurred	Procedure		Administrative	The subject underwent laparoscopic gastric banding (LGB) surgery.	0:No|1:Yes	choices
ABC	visitnumber	Visit number	Visit		Administrative		0:Baseline|9:9-Month Followup|18:18-Month Followup	choices
ANSWERS	cesd_1	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was bothered by things that usually don't bother me.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_10	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt fearful.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_11	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, my sleep was restless.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_12	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was happy.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_13	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I talked less than usual.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_14	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt lonely.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_15	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, people were unfriendly.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_16	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I enjoyed life.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_17	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I had crying spells.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_18	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt sad.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
