study_name	variable_name	variable_label	folder	description	visit	domain	type
ABC	nsrrid	nsrridNSRR subject identifier	Administrative	NSRR subject identifier			identifier
ABC	rand_siteid	rand_siteidSite identifier	Administrative	Site identifier		1:Site 1|2:Site 2	choices
ABC	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
ABC	nsrr_ahi_hp3r_aasm15	nsrr_ahi_hp3r_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep			numeric
ABC	nsrr_ahi_hp4u_aasm15	nsrr_ahi_hp4u_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep			numeric
ABC	nsrr_ttldursp_f1	nsrr_ttldursp_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
ABC	ahi_ap0uhp3x4u_f1t1	ahi_ap0uhp3x4u_f1t1Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
ABC	pctdursp_salt90_f1t1	pctdursp_salt90_f1t1Percent of total sleep duration with oxygen saturation < 90% from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration with oxygen saturation < 90% from type I polysomnography			numeric
ABC	ttldursp_f1t1	ttldursp_f1t1Total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration from type I polysomnography			numeric
ABC	bloods_datetest	bloods_datetestDate of Test	Clinical Data/Laboratory Tests	Date of Test			numeric
ABC	ahi_ap0uhp3x3r_f1t1	ahi_ap0uhp3x3r_f1t1Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
ABC	cahi_ca0uhp3x3r_f1t1	cahi_ca0uhp3x3r_f1t1Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
ABC	cahi_ca0uhp3x4u_f1t1	cahi_ca0uhp3x4u_f1t1Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
ABC	oahi_oa0uhp3x3r_f1t1	oahi_oa0uhp3x3r_f1t1Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
ABC	oahi_oa0uhp3x4u_f1t1	oahi_oa0uhp3x4u_f1t1Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
ABC	pctdursp_s1_f1t1	pctdursp_s1_f1t1Percent of total sleep duration in stage 1 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration in stage 1 sleep from type I polysomnography			numeric
ABC	pctdursp_s2_f1t1	pctdursp_s2_f1t1Percent of total sleep duration in stage 2 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration in stage 2 sleep from type I polysomnography			numeric
ABC	pctdursp_s3_f1t1	pctdursp_s3_f1t1Percent of total sleep duration in stage 3 - 4 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration in stage 3 - 4 sleep from type I polysomnography			numeric
ABC	pctdursp_salt75_f1t1	pctdursp_salt75_f1t1Percent of total sleep duration with oxygen saturation < 75% from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration with oxygen saturation < 75% from type I polysomnography			numeric
ABC	pctdursp_salt80_f1t1	pctdursp_salt80_f1t1Percent of total sleep duration with oxygen saturation < 80% from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration with oxygen saturation < 80% from type I polysomnography			numeric
ABC	pctdursp_salt85_f1t1	pctdursp_salt85_f1t1Percent of total sleep duration with oxygen saturation < 85% from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of total sleep duration with oxygen saturation < 85% from type I polysomnography			numeric
ABC	pctdursp_sr_f1t1	pctdursp_sr_f1t1Percent of sleep time in REM sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Percent of sleep time in REM sleep from type I polysomnography			numeric
ANSWERS	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
ANSWERS	age	ageWhat is your date of birth?	Demographics	What is your date of birth?			numeric
ANSWERS	cssrs_lf_1	cssrs_lf_1Columbia Suicide Severity Ratings Scale: In your lifetime, have you wished you were dead or wished you could go to sleep and not wake up?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you wished you were dead or wished you could go to sleep and not wake up?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_2	cssrs_lf_2Columbia Suicide Severity Ratings Scale: In your lifetime, have you had any thoughts of killing yourself?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you had any thoughts of killing yourself?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_3	cssrs_lf_3Columbia Suicide Severity Ratings Scale: In your lifetime, have you been thinking about how you might kill yourself?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you been thinking about how you might kill yourself?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_4	cssrs_lf_4Columbia Suicide Severity Ratings Scale: In your lifetime, have you had these thoughts and had some intention of acting on them?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you had these thoughts and had some intention of acting on them?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_5	cssrs_lf_5Columbia Suicide Severity Ratings Scale: In your lifetime, have you worked out the details of how to kill yourself? Do you intend to carry out this plan?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you worked out the details of how to kill yourself? Do you intend to carry out this plan?		0:No|1:Yes	choices
