study_name	variable_name	variable_label	folder	description	visit	domain	type
ABC	ethnicity	Ethnicity (Hispanic or Latino) of the participant	Demographics				choices
ABC	gender	Gender of the participant	Demographics				choices
ABC	leptin_ceiling	Leptin was at ceiling (>100)	Clinical Data/Laboratory Tests				choices
ABC	nsrr_age_gt89	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics			no:no|yes:yes	choices
ABC	nsrr_ethnicity	Subject ethnicity	Harmonized/Demographics				choices
ABC	nsrr_race	Subject race	Harmonized/Demographics				choices
ABC	nsrr_sex	Subject sex	Harmonized/Demographics				choices
ABC	nsrrid	NSRR subject identifier	Administrative				identifier
ABC	pai1_ceiling	PAI-1 was at ceiling (>20)	Clinical Data/Laboratory Tests				choices
ABC	race	Race of the participant	Demographics				choices
ABC	rand_siteid	Site identifier	Administrative			1:Site 1|2:Site 2	choices
ABC	rand_treatmentarm	Randomized treatment arm	Administrative				choices
ABC	surgery_occurred	Surgery occurred	Administrative				choices
ABC	visitnumber	Visit number	Administrative				choices
ANSWERS	cesd_1	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was bothered by things that usually don't bother me."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_10	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt fearful."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_11	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, my sleep was restless."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_12	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was happy."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_13	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I talked less than usual."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_14	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt lonely."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_15	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, people were unfriendly."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_16	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I enjoyed life."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
ANSWERS	cesd_17	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I had crying spells."	General Health/Center for Epidemiologic Studies Depression Scale (CESD)				choices
