study_name	variable_name	variable_label	folder	description	visit	domain	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
ABC	rand_treatmentarm	rand_treatmentarmRandomized treatment arm	Administrative	Randomized treatment arm			choices									
ABC	visitnumber	visitnumberVisit number	Administrative	Visit number			choices									
ABC	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	Baseline		numeric		kilograms per meter squared (kg/m2)	49	38.9	3.0	38.9	34.3	45.3	-
ABC	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	9-Month Followup		numeric		kilograms per meter squared (kg/m2)	43	36.3	3.6	35.8	28.0	45.4	-
ABC	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	18-Month Followup		numeric		kilograms per meter squared (kg/m2)	40	36.2	4.1	35.9	28.4	46.0	-
ABC	age	ageAge of the participant	Demographics	Age of the participant	Baseline		numeric		years	49	48.8	9.9	50.0	27.0	65.0	-
ABC	age	ageAge of the participant	Demographics	Age of the participant	9-Month Followup		numeric		years	43	50.6	9.2	52.0	28.0	65.0	-
ABC	age	ageAge of the participant	Demographics	Age of the participant	18-Month Followup		numeric		years	40	50.9	9.2	52.5	29.0	65.0	-
ABC	ethnicity	ethnicityEthnicity (Hispanic or Latino) of the participant	Demographics	Ethnicity (Hispanic or Latino) of the participant			choices									
ABC	gender	genderGender of the participant	Demographics	Gender of the participant			choices									
ABC	race	raceRace of the participant	Demographics	Race of the participant			choices									
ABC	nsrr_bmi	nsrr_bmiBody mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	Baseline		numeric		kilograms per square meter	49	38.9	3.0	38.9	34.3	45.3	-
ABC	nsrr_bmi	nsrr_bmiBody mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	9-Month Followup		numeric		kilograms per square meter	-	-	-	-	-	-	-
ABC	nsrr_bmi	nsrr_bmiBody mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	18-Month Followup		numeric		kilograms per square meter	-	-	-	-	-	-	-
ABC	nsrr_age	nsrr_ageSubject age	Harmonized/Demographics	Subject age	Baseline		numeric		years	49	48.8	9.9	50.2	26.8	64.6	-
ABC	nsrr_age	nsrr_ageSubject age	Harmonized/Demographics	Subject age	9-Month Followup		numeric		years	-	-	-	-	-	-	-
